epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,1740.04,0.99412,0.59319,0.84431,0.79159,0.94115,0.94309,0.68142,0.97941,0.59966,0.88693,0.0004655,0.0004655,0.0004655
157,1750.95,0.9453,0.56637,0.8528,0.81535,0.92035,0.94022,0.67567,0.98237,0.59607,0.88839,0.0004556,0.0004556,0.0004556
158,1762.02,0.90766,0.56913,0.83191,0.83234,0.92035,0.94068,0.66399,1.02447,0.61173,0.9118,0.0004457,0.0004457,0.0004457
159,1772.85,0.96186,0.592,0.85916,0.87455,0.86368,0.94406,0.65466,1.04079,0.63255,0.91961,0.0004358,0.0004358,0.0004358
160,1783.83,0.97105,0.56837,0.85397,0.88198,0.85841,0.94961,0.65904,1.01995,0.57127,0.90545,0.0004259,0.0004259,0.0004259
161,1794.91,0.9831,0.57764,0.85955,0.82989,0.90663,0.94873,0.66385,1.01215,0.589,0.90331,0.000416,0.000416,0.000416
162,1805.7,1.00072,0.58939,0.84326,0.93144,0.84071,0.94744,0.6676,1.02976,0.58522,0.90206,0.0004061,0.0004061,0.0004061
163,1816.52,0.96388,0.56954,0.85574,0.9262,0.82301,0.94788,0.68673,0.99168,0.58256,0.90372,0.0003962,0.0003962,0.0003962
164,1828.48,0.94608,0.55633,0.83104,0.90727,0.86586,0.94644,0.65653,1.0287,0.58678,0.89674,0.0003863,0.0003863,0.0003863
165,1839.39,0.92254,0.57504,0.84305,0.85247,0.9115,0.94881,0.6678,1.00111,0.57539,0.8961,0.0003764,0.0003764,0.0003764
166,1850.2,0.89993,0.55726,0.85579,0.87493,0.82301,0.93314,0.64677,1.04545,0.58928,0.89966,0.0003665,0.0003665,0.0003665
167,1861,0.92991,0.56285,0.83031,0.84241,0.92035,0.9447,0.68452,0.98312,0.56983,0.89795,0.0003566,0.0003566,0.0003566
168,1871.81,0.91361,0.55033,0.85031,0.84174,0.90265,0.9402,0.6616,1.01613,0.56112,0.89924,0.0003467,0.0003467,0.0003467
169,1882.63,0.91659,0.56528,0.83689,0.86369,0.89717,0.95408,0.68172,0.98954,0.57456,0.90815,0.0003368,0.0003368,0.0003368
170,1893.54,0.9243,0.52928,0.8451,0.93747,0.84071,0.9541,0.67393,0.99326,0.56212,0.90116,0.0003269,0.0003269,0.0003269
171,1904.49,0.92759,0.55045,0.84513,0.90265,0.85841,0.94608,0.67437,0.97053,0.57197,0.89462,0.000317,0.000317,0.000317
172,1915.4,0.87887,0.54327,0.84745,0.89051,0.86376,0.94898,0.68403,0.9641,0.57502,0.88843,0.0003071,0.0003071,0.0003071
173,1926.65,0.93773,0.54987,0.83775,0.86552,0.89381,0.95767,0.68489,0.95495,0.55869,0.88922,0.0002972,0.0002972,0.0002972
174,1937.58,0.92976,0.532,0.8437,0.90201,0.85841,0.93995,0.66714,0.97316,0.57658,0.89457,0.0002873,0.0002873,0.0002873
175,1948.6,0.93427,0.53109,0.8383,0.92686,0.83186,0.95146,0.68195,0.96353,0.55416,0.89156,0.0002774,0.0002774,0.0002774
176,1959.48,0.88665,0.53277,0.83292,0.9159,0.85841,0.95364,0.68884,0.96987,0.57363,0.89253,0.0002675,0.0002675,0.0002675
177,1971.5,0.89425,0.52976,0.82738,0.92564,0.84956,0.94609,0.67968,0.96748,0.57775,0.89462,0.0002576,0.0002576,0.0002576
178,1982.25,0.87019,0.52573,0.83779,0.88557,0.89037,0.94918,0.68001,0.95721,0.55133,0.89207,0.0002477,0.0002477,0.0002477
